name,description,price,category,image
Moroccan Spice Pasta Pizza - Non Veg,"A pizza loaded with a spicy combination of Harissa sauce, Peri Peri chicken chunks and delicious pasta.",5.87,non veg pizzas,https://www.dominos.co.in//files/items/MoroccanSpicePPNV_N.jpg
Roasted Chicken Wings Peri-peri,,2.02,chicken,https://www.dominos.co.in//files/items/Roasted-chicken-192x192.png
Burger Pizza- Premium Veg,,1.72,burger pizza,https://www.dominos.co.in//files/items/160790_Burger_Pizza_427X298_Pixel.jpg
Paneer Makhani,Paneer and Capsicum on Makhani Sauce,6.46,veg pizzas,https://www.dominos.co.in//files/items/Paneer_Makhni.jpg
Burger Pizza- Classic Veg,,1.45,burger pizza,https://www.dominos.co.in//files/items/160790_Burger_Pizza_427X298_Pixel.jpg
Potato Cheese Shots,"Crisp and golden outside,flavorful burst of cheese, potato & spice inside",0.98,side orders,https://www.dominos.co.in//files/items/potato_cheese_shots.png
Corn N Cheese Paratha Pizza,A crazy fusion like never before. A delicious fusion of corn stuffed paratha and cheesy pizza.,2.06,paratha pizza,https://www.dominos.co.in//files/items/cornncheesepp.jpg
Cheese N Tomato,A delectable combination of cheese and juicy tomato,3.51,pizza mania,https://www.dominos.co.in//files/items/cheese_and_tomato.png
Tikka Masala Pasta Non Veg,"Instant Fusilli Pasta, Spicy Red dressing, Onion, Chicken Tikka, Parsley sprinkle",1.78,pasta,https://www.dominos.co.in//files/items/ChickenTikkaMasala_N.jpg
Chicken Pepperoni Stuffed Garlic Bread,"Freshly Baked Garlic Bread stuffed with Delectable Chicken Pepperoni, Cheese and sprinkled with Basil Parsley",2.02,side orders,https://www.dominos.co.in//files/items/BRD0031.webp
Golden Corn,Golden Corn - Sweet Corn Pizza,0.86,pizza mania,https://www.dominos.co.in//files/items/golden_corn_veg.jpg
Garlic Breadsticks,The endearing tang of garlic in breadstics baked to perfection.,1.09,side orders,https://www.dominos.co.in//files/items/garlic-bread.webp
The 5 Chicken Feast Pizza,"Loaded with 5 different Chicken toppings - grilled Chicken Rashers, Chicken Meatballs, Chicken Tikka, herby Chicken Sausage and flavorful Chicken Keema",8.14,chicken lovers pizza,https://www.dominos.co.in//files/items/chicken_feast.jpg
Boneless Chicken Wings Peri-peri,,2.12,chicken,https://www.dominos.co.in//files/items/Boneless-Chicken-wings-192x192.png
Crunchy Strips,Oven baked wheat thin crips with peri peri seasoning with a cheesy dip,0.86,side orders,https://www.dominos.co.in//files/items/crunchy_strips.png
Chicken Meatballs Peri-peri ,,1.78,chicken,https://www.dominos.co.in//files/items/Chicken-Meat-balls-192x192.png
Chicken Maximus,"Loaded to the Max with Chicken Tikka, Chicken Keema, Chicken Sausage and a double dose of grilled Chicken Rashers.",8.14,chicken lovers pizza,https://www.dominos.co.in//files/items/chi_max.jpg
Non Veg Loaded,Peri - Peri chicken | Pepper Barbecue | Chicken Sausage in a fresh pan crust,2.02,pizza mania,https://www.dominos.co.in//files/items/LoadedC.jpg
Chicken Fiesta,Grilled Chicken Rashers I Peri-Peri Chicken I Onion I Capsicum,6.46,non veg pizzas,https://www.dominos.co.in//files/items/MicrosoftTeams-image_(10).png
Fresh Veggie,Onion & Capsicum,4.44,veg pizzas,https://www.dominos.co.in//files/items/Fresh_Veggie.jpg
Non Veg Supreme,"Bite into supreme delight of Black Olives, Onions, Grilled Mushrooms, Pepper BBQ Chicken, Peri-Peri Chicken, Grilled Chicken Rashers",6.98,non veg pizzas,https://www.dominos.co.in//files/items/MicrosoftTeams-image_(13).png
Burger Pizza- Classic Non Veg,,1.91,burger pizza,https://www.dominos.co.in//files/items/Burger_Pizza_Non.jpg
New Hand Tossed,"Classic Domino's crust. Fresh, hand stretched.",3.41,choice of crusts,https://www.dominos.co.in//files/items/Crust_272X272.jpg
Mirinda (500ml),,0.69,beverages,https://www.dominos.co.in//files/items/mirinda.png
Deluxe Veggie,"For a vegetarian looking for a BIG treat that goes easy on the spices, this one's got it all.. The onions, the capsicum, those delectable mushrooms - with paneer and golden corn to top it all.",4.44,veg pizzas,https://www.dominos.co.in//files/items/Deluxe_Veggie.jpg
Pepper Barbecue Chicken,Pepper Barbecue Chicken I Cheese,5.23,non veg pizzas,https://www.dominos.co.in//files/items/MicrosoftTeams-image_(15).png
Paneer Tikka Stuffed Garlic Bread,"Freshly Baked Stuffed Garlic Bread with Cheese, Onion and Paneer Tikka fillings. Comes with a dash of Basil Parsley Sprinkle",2.02,side orders,https://www.dominos.co.in//files/items/BRD0030.webp
Chicken Keema Paratha Pizza,Flavourful & meaty chicken keema paratha and goodness of cheesy pizza coming together in an epic crossover!,2.93,paratha pizza,https://www.dominos.co.in//files/items/chickenkeemaparatha.jpg
Brownie Fantasy,Sweet Temptation! Hot Chocolate Brownie drizzled with chocolate fudge sauce,0.68,side orders,https://www.dominos.co.in//files/items/brownie_fantasy.png
Chicken Golden Delight,Mmm! Barbeque chicken with a topping of golden corn loaded with extra cheese. Worth its weight in gold!,5.20,non veg pizzas,https://www.dominos.co.in//files/items/MicrosoftTeams-image_(14).png
Mexican Green Wave,"A pizza loaded with crunchy onions, crisp capsicum, juicy tomatoes and jalapeno with a liberal sprinkling of exotic Mexican herbs.",5.39,veg pizzas,https://www.dominos.co.in//files/items/Mexican_Green_Wave.jpg
Lava Cake,Filled with delecious molten chocolate inside.,1.14,side orders,https://www.dominos.co.in//files/items/choco-lava-cake-771.jpg
Chicken Parcel,,0.64,side orders,https://www.dominos.co.in//files/items/150135_Aha_Non_Veg_439x307-01.jpg
Veg Extravaganza,"A pizza that decidedly staggers under an overload of golden corn, exotic black olives, crunchy onions, crisp capsicum, succulent mushrooms, juicyfresh tomatoes and jalapeno - with extra cheese to go all around.",5.20,veg pizzas,https://www.dominos.co.in//files/items/Veg_Extravaganz.jpg
